timestamp,container,cpu_pct,mem_usage,mem_limit,mem_pct
2026-02-22T12:31:09Z,sxng-exp-14,0.00%,97.91MiB,200MiB,48.96%
2026-02-22T12:31:09Z,sxng-exp-03,0.00%,96.03MiB,200MiB,48.02%
2026-02-22T12:31:09Z,sxng-exp-01,0.00%,95.87MiB,200MiB,47.94%
2026-02-22T12:31:09Z,sxng-exp-09,0.00%,96.12MiB,200MiB,48.06%
2026-02-22T12:31:09Z,sxng-exp-02,0.00%,100.6MiB,200MiB,50.28%
2026-02-22T12:31:09Z,sxng-exp-06,0.00%,96.6MiB,200MiB,48.30%
2026-02-22T12:31:09Z,sxng-exp-20,0.00%,83.68MiB,200MiB,41.84%
2026-02-22T12:31:09Z,sxng-exp-05,0.00%,95.57MiB,200MiB,47.78%
2026-02-22T12:31:15Z,sxng-exp-15,0.00%,96.05MiB,200MiB,48.02%
2026-02-22T12:31:15Z,sxng-exp-18,0.00%,95.95MiB,200MiB,47.98%
2026-02-22T12:31:15Z,sxng-exp-08,0.00%,97.76MiB,200MiB,48.88%
2026-02-22T12:31:15Z,sxng-exp-04,0.00%,96.17MiB,200MiB,48.09%
2026-02-22T12:31:15Z,sxng-exp-10,0.00%,96.65MiB,200MiB,48.33%
2026-02-22T12:31:15Z,sxng-exp-11,0.00%,98.87MiB,200MiB,49.43%
2026-02-22T12:31:15Z,sxng-exp-13,0.00%,97.27MiB,200MiB,48.63%
2026-02-22T12:31:15Z,sxng-exp-17,0.00%,97.5MiB,200MiB,48.75%
2026-02-22T12:31:15Z,sxng-exp-19,0.68%,103.4MiB,200MiB,51.70%
2026-02-22T12:31:15Z,sxng-exp-07,0.00%,95.86MiB,200MiB,47.93%
2026-02-22T12:31:15Z,sxng-exp-16,0.00%,96.87MiB,200MiB,48.44%
2026-02-22T12:31:15Z,sxng-exp-12,0.00%,95.55MiB,200MiB,47.78%
2026-02-22T12:31:15Z,sxng-exp-14,0.00%,97.9MiB,200MiB,48.95%
2026-02-22T12:31:15Z,sxng-exp-03,0.00%,96.03MiB,200MiB,48.02%
2026-02-22T12:31:15Z,sxng-exp-01,0.00%,95.87MiB,200MiB,47.94%
2026-02-22T12:31:15Z,sxng-exp-09,0.00%,96.12MiB,200MiB,48.06%
2026-02-22T12:31:15Z,sxng-exp-02,0.00%,100.6MiB,200MiB,50.28%
2026-02-22T12:31:15Z,sxng-exp-06,0.00%,96.6MiB,200MiB,48.30%
2026-02-22T12:31:15Z,sxng-exp-20,0.00%,83.68MiB,200MiB,41.84%
2026-02-22T12:31:15Z,sxng-exp-05,0.00%,95.57MiB,200MiB,47.78%
2026-02-22T12:31:21Z,sxng-exp-15,0.00%,96.05MiB,200MiB,48.02%
2026-02-22T12:31:21Z,sxng-exp-18,0.00%,95.84MiB,200MiB,47.92%
2026-02-22T12:31:21Z,sxng-exp-08,0.00%,97.76MiB,200MiB,48.88%
2026-02-22T12:31:21Z,sxng-exp-04,0.00%,96.17MiB,200MiB,48.09%
2026-02-22T12:31:21Z,sxng-exp-10,0.00%,96.65MiB,200MiB,48.33%
2026-02-22T12:31:21Z,sxng-exp-11,0.00%,98.62MiB,200MiB,49.31%
